,HER_3.sdds,HER_1.sdds,HER_2.sdds
MQC1LE,0.0,0.0,0.0
MQC2LE,-0.026152910916,-0.071188515998,-0.017862709426
MQLC3LE,,,
MQLC7LE,-0.034334640876,-0.0254673439379,-0.053720680545
MQLB1LE,-0.079838184323,0.037372818786,0.024660798352
MQLB4LE,,,
MQLA2LE,-0.0229752936071,0.0174736450221,
MQLA5LE,-0.119711640031,-0.102010197909,-0.140079296432
MQD3E1,0.0048828989425,-0.110779957867,-0.103118073607
MQEAE4,-0.0317017413723,0.0593817798611,
MQD3E4,-0.102390924953,-0.0825069818299,0.464567361207
MQEAE6,0.0244304296549,0.0587998732791,
MQTATNE1,-0.044118372243,-0.0210923767974,0.024369179862
MQTATNE2,-0.127747665055,0.0952653034911,-0.021797705775
MQEAE8,0.021359677333,0.0215251848701,0.019628795616
MQD3E8,-0.049461411018,-0.0359940868639,-0.143331357523
MQEAE10,-0.048578225523,-0.0303433828459,-0.116325536169
MQEAE11,-0.090746542767,-0.0725000110229,
MQR2NE1,,,
MQFRNE3,,,
MQDRNE5,,,-0.079201761015
MQEAE13,0.070016778895,,-0.304544636013
MQD3E12,-0.0725684021,-0.134059286714,-0.109152976928
MQEAE16,-0.012507936754,-0.0066048227149,0.008393029391
MQD3E14,-0.047795748521,0.0159425193271,-0.483760729026
MQEAE18,-0.0623292350539,-0.0991825601349,-0.392058798483
MQTANFE1,0.019991396396,0.0225000790236,0.019831183573
MQD3E16,-0.032644630807,0.033789474918,0.075932582764
MQEAE20,-0.275940003872,0.0887191285881,0.136063067797
MQD3E18,0.497032248663,-0.0639737934103,-0.034581365018
MQEAE22,0.444774918921,-0.0083761273459,-0.036899615804
MQEAE23,-0.024122032893,-0.407245692745,
MQI6E,0.064982467105,0.0334759179535,0.014650367158
MQI5E,-0.012111971517,-0.0083531558951,-0.004805139933
MQI4E,-0.031330783308,-0.0257708217238,0.003201754818
MQX2RE,-0.055890248826,-0.0098268279298,0.009756492827
MQM2E,-0.017774973583,-0.0326017541549,0.033100418674
MQM7E,0.015570014961,-0.000583838394899,-0.032369327368
MQEAE25,,,
MQD3E21,0.0187515254943,0.0350096109261,-0.423838194064
MQEAE27,0.028083657149,0.040399995476,0.149505455078
MQD3E23,0.066187349211,-0.0188314340299,-0.461978923744
MQEAE29,-0.041532563621,,
MQEAE30,0.035789775967,-0.0880088760919,
MQTAFOE1,0.0768449318097,-0.0648855962085,-0.083832824054
MQTAFOE2,-0.021929459788,-0.0901715190399,0.034896062407
MQEAE32,-0.290493347718,0.0366644221011,0.012513523449
MQD3E29,0.007271681087,0.0099982732841,
MQEAE35,0.024028933596,-0.0578014923419,0.002810220362
MQR2ORE,,,
MQDROE5,0.02408665538,0.0914756225511,-0.420815908907
MQEAE37,-0.024918203791,-0.0119331049879,
MQD3E31,,,
MQEAE39,,-0.0465655218379,-0.0285366044468
MQD3E33,-0.024055992747,-0.0790870191609,-0.10571324859
MQEAE41,0.021983651547,0.107405810944,0.106779836041
MQTAOTE1,-0.035644763926,-0.0239282837039,0.107862114932
MQTAOTE2,-0.142605575915,-0.0325822469679,0.001165009221
MQEAE44,0.077483013678,-0.0190638494052,0.125134340202
MQEAE45,-0.009919265269,,-0.341924829113
MQD3E40,0.066327956233,-0.43486929309,
MQLA2RE,,,
MQLB8RE,,,
MQLB1RE,-0.029849255953,0.0183411108171,-0.006017012698
MQLC7RE,-0.025091498046,-0.0206027565719,-0.022938364986
MQLC3RE,0.0304651903629,0.112576914201,-0.069034655943
MQC2RE,-0.016344760553,-0.0122849818799,0.0139460325318
MQC1RE,-0.056813175588,-0.0623490964449,-0.066515123964
